Episodio n;Titulo;URL;Año;Mes
Episodio 571;15 discos que tienes escuchar antes de morir;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-15-discos-tienes-escuchar-antes-morir-22-05-15/3137375/;2015;5
Episodio 572;Manuel Molina, el 'hereje' del flamenco;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-manuel-molina-hereje-del-flamenco-26-05-15/3140373/;2015;5
Episodio 573;Las mejores líneas de bajo (volumen 2);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-mejores-lineas-bajo-volumen-2-27-05-15/3141538/;2015;5
Episodio 574;The Strypes, Frank Turner, Faith No More, The Bohicas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-the-strypes-frank-turner-faith-no-more-the-bohicas-28-05-15/3143545/;2015;5
Episodio 575;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/seis-tres-290515/3146380/;2015;5
Episodio 576;Los mejores discos del año 2000;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-mejores-discos-del-ano-2000-02-06-15/3151240/;2015;6
Episodio 577;Black Sabbath y aquel concierto en Birmingham;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-black-sabbath-aquel-concierto-birmingham-03-06-15/3151677/;2015;6
Episodio 578;The Strypes, Stereophonics, Robe y Extremoduro;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-the-strypes-stereophonics-robe-extremoduro-04-06-15/3154458/;2015;6
Episodio 579;Canciones inspiradas en coches;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-canciones-inspiradas-coches-05-06-15/3155623/;2015;6
Episodio 580;Desmontando a Jeff Spinoza;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-desmontando-jeff-spinoza-09-06-15/3161200/;2015;6
Episodio 581;Las bandas españolas más en forma;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-bandas-espanolas-mas-forma-10-06-15/3162038/;2015;6
Episodio 582;Las canciones de Wes Anderson;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-canciones-wes-anderson-11-06-15/3163590/;2015;6
Episodio 583;Travis Bretzer, Blake Mills, Mac DeMarco, Waxahatchee, Ryan;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-travis-bretzer-blake-mills-mac-demarco-waxahatchee-ryan-adams-12-06-15/3163349/;2015;6
Episodio 584;Los grupos favoritos de Jack White;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-grupos-favoritos-jack-white-16-06-15/3170706/;2015;6
Episodio 585;Desmontando a Santiago Campillo;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-desmontando-santiago-campillo-17-06-15/3170707/;2015;6
Episodio 586;Los mejores conciertos de este verano (volumen 1);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-mejores-conciertos-este-verano-volumen-1-18-06-15/3173885/;2015;6
Episodio 587;Los mejores conciertos de este verano (vol. 2);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-mejores-conciertos-este-verano-volumen-2-19-06-15/3176020/;2015;6
Episodio 588;Los mejores guitarristas del mundo para Satriani;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-mejores-guitarristas-del-mundo-para-satriani-23-06-15/3179809/;2015;6
Episodio 589;Desmontando a Toni Xuclà;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-desmontando-toni-xucla-24-06-15/3179844/;2015;6
Episodio 590;Paul Simon en 16 canciones;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-paul-simon-16-canciones-25-06-15/3179791/;2015;6
Episodio 591;Sesión rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-sesion-rompepistas-26-06-15/3179848/;2015;6
Episodio 592;Stevie Ray Vaughan;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-stevie-ray-vaughan-30-06-15/3190784/;2015;6
Episodio 593;Eagles of Death Metal, Muse, Foo Fighters y Mark Knopfler;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-eagles-of-death-metal-muse-foo-fighters-mark-knopfler-01-07-15/3190858/;2015;7
Episodio 594;Monográfico John Frusciante;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-monografico-john-frusciante-02-07-15/3190859/;2015;7
Episodio 595;Noel Gallagher, Albert Hammond, Jr, Hanni El Khatib, Fidlar;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-noel-gallagher-albert-hammond-jr-hanni-khatib-fidlar-03-07-15/3190860/;2015;7
Episodio 596;AC/DC, The Jesus and Mary Chain, Refused, Motorhead;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-ac-dc-the-jesus-and-mary-chain-refused-motorhead-07-07-15/3199442/;2015;7
Episodio 597;Monográfico Rock urbano;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-monografico-rock-urbano-08-07-15/3200829/;2015;7
Episodio 598;The Dead Weather, The Black Keys,The Arcs, Smashing Pumpkins;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-the-dead-weather-the-black-keys-the-arcs-the-smashing-pumpkins-09-07-15/3200946/;2015;7
Episodio 599;Prince, The Libertines, BRMC, Gary Clark Jr, Ben Harper;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-prince-the-libertines-brmc-gary-clark-jr-ben-harper-10-07-15/3200915/;2015;7
Episodio 600;Festival de la guitarra de Córdoba;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-festival-guitarra-cordoba-14-07-15/3209469/;2015;7
Episodio 601;Slash, Paul Weller, Faith No More, The Tallest Man On Earth;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-slash-paul-weller-faith-no-more-the-tallest-man-on-earth-15-07-15/3210761/;2015;7
Episodio 602;Los mejores guitarrazos de Randy Rhoads;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-mejores-guitarrazos-randy-rhoads-16-07-15/3210767/;2015;7
Episodio 603;Las mejores canciones del súper guitarrista, J Mascis;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/150721-6x3-mascis-2015-07-20t09-47-53277/3219421/;2015;7
Episodio 604;Sven Hammond y Barenaked Ladies;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-sven-hammond-barenaked-ladies-22-07-15/3219394/;2015;7
Episodio 605;David Gilmour, Keith Richards, John Mayer, Brian Setzer;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/150723-6x3-gilmour-richards-2015-07-22t13-43-42783/3222746/;2015;7
Episodio 606;Sesión Rompepistas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/150724-6x3-rompepistas-julio-2015-07-17t13-28-13880/3219438/;2015;7
Episodio 607;Riptide Movement;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-riptide-movement-28-07-15/3222497/;2015;7
Episodio 608;Los mejores guitarrazos de Queens Of The Stone Age;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-mejores-guitarrazos-queens-of-the-stone-age-29-07-15/3225939/;2015;7
Episodio 609;Canciones inspiradas en hoteles;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-canciones-inspiradas-hoteles-30-07-15/3226023/;2015;7
Episodio 610;Solos de guitarra memorables;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-solos-guitarra-memorables-31-07-15/3232858/;2015;7
Episodio 611;Talkbox 01;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-talkbox-01-04-08-15/3225740/;2015;8
Episodio 612;Talkbox 02;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-talkbox-02-05-08-15/3221614/;2015;8
Episodio 613;Mis solos preferidos;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-solos-preferidos-06-08-15/3221607/;2015;8
Episodio 614;Baladas guitarreras 100%;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-baladas-guitarreras-100-07-08-15/3221606/;2015;8
Episodio 615;Gary Moore en directo;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-gary-moore-directo-11-08-15/3221611/;2015;8
Episodio 616;Jimi Hendrix en Monterey;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-jimi-hendrix-monterey-12-08-15/3221612/;2015;8
Episodio 617;ZZ Top en el Rockpalast;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-zz-top-rockpalast-13-08-15/3221638/;2015;8
Episodio 618;SRV en Montreux;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-srv-montreux-18-08-15/3221609/;2015;8
Episodio 619;Rory Gallagher en la BBC;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-rory-gallagher-bbc-19-08-15/3221608/;2015;8
Episodio 620;Albert King y John Lee Hooker en directo;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-albert-king-john-lee-hooker-directo-19-08-15/3221613/;2015;8
Episodio 621;Eric Clapton y Jeff Beck;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-eric-clapton-jeff-beck-21-08-15/3221623/;2015;8
Episodio 622;Slash Live at Roxy;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-slash-live-at-roxy-25-08-15/3221610/;2015;8
Episodio 623;Jeff Beck en directo;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-jeff-beck-directo-26-08-15/3221615/;2015;8
Episodio 624;Bill Frisell en el Festival de Córdoba;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-bill-frisell-festival-cordoba-27-08-15/3221622/;2015;8
Episodio 625;Chicuelo, Lara y Lagos en el Festival de Córdoba;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-chicuelo-lara-lagos-festival-cordoba-28-08-15/3221616/;2015;8
Episodio 626;Fender Match;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-fender-match-01-09-15/3263567/;2015;9
Episodio 627;The Dead Weather, Gary Clark Jr, The Strypes, Chris Cornell;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-the-dead-weather-gary-clark-jr-the-strypes-chris-cornell-02-09-15/3264914/;2015;9
Episodio 628;X Ambassadors;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-ambassadors-03-09-15/3266562/;2015;9
Episodio 629;Robert Cray;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-robert-cray-04-09-15/3267844/;2015;9
Episodio 630;Queens of the Stone Age, Keith Richards, Thunderbitch;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-queens-of-the-stone-age-keith-richards-thunderbitch-the-smiths-08-09-15/3272743/;2015;9
Episodio 631;Novedades históricas;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-novedades-historicas-09-09-15/3272861/;2015;9
